Sector,Area,Basis,Measure,Units,Year,Value
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2019,"4,274.021"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2020,"4,027.383"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2021,"4,260.769"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2022,"4,400.356"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2007,"2,742.863"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2008,"2,686.616"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2009,"2,505.885"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2010,"2,502.090"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2011,"2,580.253"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2012,"2,651.027"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2013,"2,602.185"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2014,"2,642.958"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2015,"2,648.025"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2016,"2,701.440"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2017,"2,647.822"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2018,"2,700.680"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2019,"2,681.628"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2020,"2,512.636"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2021,"2,622.295"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2022,"2,663.494"
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2007,682.369
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2008,663.253
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2009,605.050
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2010,590.392
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2011,614.645
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2012,624.309
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2013,629.314
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2014,645.311
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2015,660.013
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2016,675.314
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2017,671.545
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2018,682.847
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2019,687.940
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2020,625.401
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2021,663.411
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2022,691.655
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2007,892.744
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2008,881.603
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2009,878.657
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2010,863.402
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2011,890.582
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2012,923.475
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2013,953.141
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2014,977.217
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2015,981.916
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2016,"1,007.373"
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2017,"1,014.558"
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2018,"1,025.643"
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2019,"1,052.183"
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2020,939.896
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2021,924.665
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2022,971.103
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2007,"13,266.371"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2008,"12,526.034"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2009,"11,631.709"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2010,"11,606.950"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2011,"11,611.617"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2012,"11,740.664"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2013,"12,206.432"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2014,"12,675.477"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2015,"13,090.326"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2016,"13,471.287"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2017,"13,760.241"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2018,"14,443.110"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2019,"14,511.155"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2020,"13,486.299"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2021,"14,745.980"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2022,"15,357.714"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2007,"6,743.700"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2008,"6,554.007"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2009,"6,048.260"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2010,"5,945.578"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2011,"6,029.747"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2012,"6,275.166"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2013,"6,337.519"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2014,"6,583.783"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2015,"6,759.614"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2016,"6,954.981"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2017,"7,099.148"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2018,"7,218.089"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2019,"7,355.516"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2020,"6,880.546"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2021,"7,390.372"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2022,"7,685.799"
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2007,912.771
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2008,901.411
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2009,834.302
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2010,840.915
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2011,855.604
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2012,907.835
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2013,904.698
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2014,936.114
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2015,937.519
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2016,938.245
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2017,946.580
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2018,952.288
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2019,946.803
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2020,780.800
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2021,845.505
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2022,909.166
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2007,"1,061.701"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2008,"1,019.707"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2009,921.190
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2010,920.702
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2011,948.036
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2012,951.046
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2013,963.447
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2014,991.916
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2015,"1,031.408"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2016,"1,045.077"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2017,"1,106.975"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2018,"1,145.546"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2019,"1,169.797"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2020,"1,180.581"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2021,"1,260.913"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2022,"1,277.125"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2007,"9,454.685"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2008,"9,243.970"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2009,"8,723.419"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2010,"8,721.512"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2011,"8,902.096"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2012,"9,119.834"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2013,"9,140.614"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2014,"9,289.805"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2015,"9,434.067"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2016,"9,425.960"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2017,"9,502.550"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2018,"9,590.567"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2019,"9,540.111"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2020,"8,891.168"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2021,"9,171.612"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2022,"9,381.312"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2007,"4,816.884"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2008,"4,631.232"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2009,"4,294.674"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2010,"4,368.847"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2011,"4,458.310"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2012,"4,516.595"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2013,"4,604.975"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2014,"4,699.831"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2015,"4,823.267"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2016,"4,869.007"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2017,"4,955.768"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2018,"4,973.827"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2019,"5,064.775"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2020,"4,765.779"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2021,"5,061.168"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2022,"5,176.527"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2007,"2,376.678"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2008,"2,323.284"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2009,"2,210.908"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2010,"2,261.393"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2011,"2,274.137"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2012,"2,349.533"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2013,"2,373.039"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2014,"2,442.412"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2015,"2,457.962"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2016,"2,454.010"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2017,"2,462.747"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2018,"2,450.881"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2019,"2,483.778"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2020,"2,337.373"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2021,"2,385.815"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2022,"2,407.279"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2007,"2,143.960"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2008,"2,161.620"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2009,"2,035.727"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2010,"1,980.667"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2011,"2,024.744"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2012,"2,090.737"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2013,"2,088.824"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2014,"2,116.766"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2015,"2,132.598"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2016,"2,087.189"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2017,"2,112.375"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2018,"2,118.110"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2019,"2,150.629"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2020,"2,008.110"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2021,"2,067.863"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2022,"2,138.004"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2007,"3,081.519"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2008,"3,015.702"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2009,"2,762.162"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2010,"2,747.995"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2011,"2,742.733"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2012,"2,765.014"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2013,"2,758.889"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2014,"2,835.566"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2015,"2,954.115"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2016,"2,999.770"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2017,"3,015.744"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2018,"3,010.253"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2019,"3,039.060"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2020,"2,894.943"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2021,"3,025.803"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2022,"3,055.574"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2007,"3,097.384"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2008,"3,115.460"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2009,"3,014.761"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2010,"3,022.253"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2011,"3,000.284"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2012,"3,108.194"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2013,"3,129.284"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2014,"3,253.407"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2015,"3,208.856"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2016,"3,105.738"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2017,"3,179.684"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2018,"3,243.453"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2019,"3,265.507"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2020,"2,937.584"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2021,"3,011.877"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2022,"3,143.651"
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2007,"1,006.404"
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2008,995.936
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2009,933.285
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2010,935.693
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2011,937.507
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2012,961.438
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2013,967.452
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2014,962.266
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2015,"1,008.498"
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2016,"1,014.840"
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2017,"1,021.633"
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2018,"1,028.548"
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2019,"1,023.520"
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2020,938.262
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2021,996.124
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2022,"1,034.767"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2007,"3,999.968"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2008,"3,945.160"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2009,"3,766.449"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2010,"3,667.491"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2011,"3,796.316"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2012,"3,802.411"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2013,"3,812.753"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2014,"3,858.431"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2015,"3,926.746"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2016,"3,978.251"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2017,"4,081.175"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2018,"4,176.017"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2019,"4,142.762"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2020,"3,776.709"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2021,"3,897.786"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2022,"3,973.459"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2007,"5,282.817"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2008,"5,286.270"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2009,"5,013.740"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2010,"5,067.684"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2011,"5,105.695"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2012,"5,206.493"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2013,"5,249.542"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2014,"5,383.361"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2015,"5,453.611"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2016,"5,586.561"
