"Annual labor productivity by state and region, N.A. = data not available",,,,,,,,,,,,,,,,,,,,
"Data released May 25, 2023; Bureau of Labor Statistics, Office of Productivity and Technology",,,,,,,,,,,,,,,,,,,,
Sector,Area,Basis,Measure,Units,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,"15,983.537","15,921.028","15,995.186","16,645.538","17,025.162","17,660.335","18,462.734","18,292.852","18,667.040","17,501.877","16,822.779","17,370.843","18,417.694","17,910.458","17,382.076","17,772.335"
Private nonfarm,Alaska,All workers,Value-added output,Millions of current dollars,"38,929.767","44,329.510","38,550.947","41,358.654","44,247.557","45,161.619","44,222.873","43,250.830","38,114.641","36,934.295","39,451.410","40,280.083","39,877.750","35,589.432","41,914.584","47,769.139"
Private nonfarm,Alaska,All workers,Labor compensation,Millions of current dollars,"15,276.874","15,807.889","15,981.914","16,352.384","17,473.863","18,234.293","19,182.884","19,465.380","20,091.973","19,190.388","18,807.822","19,803.663","21,035.965","20,300.043","21,390.109","23,661.383"
Private nonfarm,Alaska,All workers,Real hourly compensation,2012 dollars per hour worked,32.673,32.857,33.843,34.655,33.359,34.815,36.104,36.815,37.613,36.468,35.315,36.131,37.112,40.697,38.029,37.132
Private nonfarm,Alaska,All workers,Hourly compensation,Current dollars per hour worked,31.228,32.624,33.815,34.045,34.238,35.947,37.512,39.175,40.484,39.987,39.482,41.191,42.388,46.126,46.798,49.436
Private nonfarm,Alaska,All workers,Labor productivity,% Change from previous year,N.A.,0.2,14.3,-6.0,-5.4,7.1,-6.3,0.4,2.0,1.5,1.4,-4.1,-2.5,6.0,-3.4,-7.1
Private nonfarm,Alaska,All workers,Real value-added output,% Change from previous year,N.A.,-0.8,11.5,-4.5,0.5,6.4,-5.5,-2.4,1.9,-1.8,0.6,-3.2,0.6,-6.0,0.3,-2.7
Private nonfarm,Alaska,All workers,Hours worked,% Change from previous year,N.A.,-0.9,-2.5,1.6,6.3,-0.6,0.8,-2.8,-0.1,-3.3,-0.7,0.9,3.2,-11.3,3.9,4.7
Private nonfarm,Alaska,All workers,Employment,% Change from previous year,N.A.,-0.1,-2.8,1.5,2.9,0.8,2.1,-0.1,-0.9,-1.3,-1.4,0.7,1.9,-9.5,3.2,3.3
Private nonfarm,Alaska,All workers,Output per worker,% Change from previous year,N.A.,-0.7,14.7,-5.9,-2.3,5.6,-7.4,-2.3,2.9,-0.5,2.1,-3.8,-1.3,3.9,-2.8,-5.9
Private nonfarm,Alaska,All workers,Real hourly compensation,% Change from previous year,N.A.,0.6,3.0,2.4,-3.7,4.4,3.7,2.0,2.2,-3.0,-3.2,2.3,2.7,9.7,-6.6,-2.4
Private nonfarm,Alaska,All workers,Hourly compensation,% Change from previous year,N.A.,4.5,3.7,0.7,0.6,5.0,4.4,4.4,3.3,-1.2,-1.3,4.3,2.9,8.8,1.5,5.6
Private nonfarm,Alaska,All workers,Value-added output,% Change from previous year,N.A.,13.9,-13.0,7.3,7.0,2.1,-2.1,-2.2,-11.9,-3.1,6.8,2.1,-1.0,-10.8,17.8,14.0
Private nonfarm,Alaska,All workers,Value-added output price deflator,% Change from previous year,N.A.,14.8,-22.0,12.3,6.5,-4.1,3.6,0.2,-13.5,-1.3,6.1,5.5,-1.6,-5.1,17.4,17.2
Private nonfarm,Alaska,All workers,Labor compensation,% Change from previous year,N.A.,3.5,1.1,2.3,6.9,4.4,5.2,1.5,3.2,-4.5,-2.0,5.3,6.2,-3.5,5.4,10.6
Private nonfarm,Alaska,All workers,Real labor compensation,% Change from previous year,N.A.,-0.4,0.5,4.1,2.3,3.7,4.5,-0.9,2.0,-6.2,-3.9,3.3,6.0,-2.8,-3.0,2.2
Private nonfarm,Alaska,All workers,Unit labor costs,% Change from previous year,N.A.,4.3,-9.3,7.1,6.3,-1.9,11.4,4.0,1.3,-2.7,-2.6,8.8,5.6,2.6,5.0,13.7
Private nonfarm,Arizona,All workers,Labor productivity,Index (2012=100),94.835,95.220,93.061,95.594,99.163,100.000,98.043,99.017,97.810,99.209,100.203,101.322,102.511,106.394,110.552,108.257
Private nonfarm,Arizona,All workers,Real value-added output,Index (2012=100),104.503,100.762,91.508,93.573,97.021,100.000,100.083,102.218,104.965,108.482,113.859,119.169,123.657,124.805,134.798,138.871
Private nonfarm,Arizona,All workers,Hours worked,Index (2012=100),110.195,105.821,98.331,97.886,97.840,100.000,102.080,103.232,107.315,109.347,113.628,117.614,120.628,117.304,121.931,128.279
Private nonfarm,Arizona,All workers,Employment,Index (2012=100),109.603,106.739,99.506,97.763,98.030,100.000,103.240,104.752,107.792,111.451,113.977,117.681,121.260,118.202,123.230,128.887
Private nonfarm,Arizona,All workers,Output per worker,Index (2012=100),95.347,94.401,91.962,95.715,98.970,100.000,96.941,97.580,97.377,97.336,99.897,101.264,101.976,105.587,109.387,107.746
Private nonfarm,Arizona,All workers,Real hourly compensation,Index (2012=100),95.308,96.102,96.171,97.362,99.166,100.000,99.725,102.190,103.554,103.285,105.070,106.857,108.350,113.591,116.524,113.475
Private nonfarm,Arizona,All workers,Hourly compensation,Index (2012=100),89.829,94.094,94.570,94.487,97.977,100.000,101.600,105.070,106.483,108.729,111.533,115.834,120.014,129.292,135.328,142.580
Private nonfarm,Arizona,All workers,Value-added output price deflator,Index (2012=100),93.014,94.021,96.048,96.606,98.020,100.000,101.578,103.418,105.353,106.920,108.555,110.759,113.368,115.317,119.135,127.223
Private nonfarm,Arizona,All workers,Labor compensation,Index (2012=100),98.987,99.571,92.992,92.490,95.861,100.000,103.713,108.466,114.272,118.892,126.733,136.237,144.770,151.666,165.007,182.899
Private nonfarm,Arizona,All workers,Real labor compensation,Index (2012=100),105.024,101.695,94.566,95.304,97.024,100.000,101.800,105.493,111.129,112.939,119.389,125.679,130.700,133.247,142.079,145.564
Private nonfarm,Arizona,All workers,Unit labor costs,Index (2012=100),94.721,98.818,101.622,98.843,98.804,100.000,103.627,106.113,108.867,109.596,111.307,114.323,117.074,121.522,122.410,131.705
Private nonfarm,Arizona,All workers,Employment,Thousands of jobs,2505.1,2439.6,2274.3,2234.4,2240.6,2285.6,2359.6,2394.2,2463.7,2547.3,2605.0,2689.7,2771.5,2701.6,2816.5,2945.8
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,"4,396.806","4,222.269","3,923.422","3,905.691","3,903.827","3,990.028","4,073.018","4,118.999","4,281.890","4,362.972","4,533.786","4,692.837","4,813.071","4,680.475","4,865.092","5,118.348"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,"135,392.020","131,100.801","121,909.663","122,861.593","125,078.749","128,915.296","131,235.376","135,996.306","143,262.407","145,595.204","153,910.658","162,019.299","168,492.830","171,775.582","183,161.052","187,654.408"
Private nonfarm,Arizona,All workers,Value-added output,Millions of current dollars,"203,501.396","198,339.498","184,005.754","189,254.253","199,097.520","209,356.877","212,835.366","221,313.241","231,514.077","242,830.936","258,764.381","276,330.460","293,490.762","301,308.694","336,208.675","369,883.435"
Private nonfarm,Arizona,All workers,Labor compensation,Millions of current dollars,"125,221.595","125,959.997","117,637.298","117,003.062","121,266.808","126,503.115","131,200.025","137,212.635","144,557.696","150,401.857","160,320.646","172,344.428","183,138.026","191,861.740","208,738.504","231,372.887"
Private nonfarm,Arizona,All workers,Real hourly compensation,2012 dollars per hour worked,30.793,31.050,31.072,31.457,32.040,32.309,32.221,33.017,33.458,33.371,33.947,34.525,35.007,36.700,37.648,36.663
Private nonfarm,Arizona,All workers,Hourly compensation,Current dollars per hour worked,28.480,29.832,29.983,29.957,31.064,31.705,32.212,33.312,33.760,34.472,35.361,36.725,38.050,40.992,42.905,45.205
Private nonfarm,Arizona,All workers,Labor productivity,% Change from previous year,N.A.,0.4,-2.3,2.7,3.7,0.8,-2.0,1.0,-1.2,1.4,1.0,1.1,1.2,3.8,3.9,-2.1
Private nonfarm,Arizona,All workers,Real value-added output,% Change from previous year,N.A.,-3.6,-9.2,2.3,3.7,3.1,0.1,2.1,2.7,3.4,5.0,4.7,3.8,0.9,8.0,3.0
Private nonfarm,Arizona,All workers,Hours worked,% Change from previous year,N.A.,-4.0,-7.1,-0.5,0.0,2.2,2.1,1.1,4.0,1.9,3.9,3.5,2.6,-2.8,3.9,5.2
Private nonfarm,Arizona,All workers,Employment,% Change from previous year,N.A.,-2.6,-6.8,-1.8,0.3,2.0,3.2,1.5,2.9,3.4,2.3,3.3,3.0,-2.5,4.3,4.6
Private nonfarm,Arizona,All workers,Output per worker,% Change from previous year,N.A.,-1.0,-2.6,4.1,3.4,1.0,-3.1,0.7,-0.2,0.0,2.6,1.4,0.7,3.5,3.6,-1.5
Private nonfarm,Arizona,All workers,Real hourly compensation,% Change from previous year,N.A.,0.8,0.1,1.2,1.9,0.8,-0.3,2.5,1.3,-0.3,1.7,1.7,1.4,4.8,2.6,-2.6
Private nonfarm,Arizona,All workers,Hourly compensation,% Change from previous year,N.A.,4.7,0.5,-0.1,3.7,2.1,1.6,3.4,1.3,2.1,2.6,3.9,3.6,7.7,4.7,5.4
Private nonfarm,Arizona,All workers,Value-added output,% Change from previous year,N.A.,-2.5,-7.2,2.9,5.2,5.2,1.7,4.0,4.6,4.9,6.6,6.8,6.2,2.7,11.6,10.0
Private nonfarm,Arizona,All workers,Value-added output price deflator,% Change from previous year,N.A.,1.1,2.2,0.6,1.5,2.0,1.6,1.8,1.9,1.5,1.5,2.0,2.4,1.7,3.3,6.8
Private nonfarm,Arizona,All workers,Labor compensation,% Change from previous year,N.A.,0.6,-6.6,-0.5,3.6,4.3,3.7,4.6,5.4,4.0,6.6,7.5,6.3,4.8,8.8,10.8
Private nonfarm,Arizona,All workers,Real labor compensation,% Change from previous year,N.A.,-3.2,-7.0,0.8,1.8,3.1,1.8,3.6,5.3,1.6,5.7,5.3,4.0,1.9,6.6,2.5
Private nonfarm,Arizona,All workers,Unit labor costs,% Change from previous year,N.A.,4.3,2.8,-2.7,0.0,1.2,3.6,2.4,2.6,0.7,1.6,2.7,2.4,3.8,0.7,7.6
Private nonfarm,Arkansas,All workers,Labor productivity,Index (2012=100),94.079,94.331,96.319,100.471,100.543,100.000,102.577,103.432,102.626,102.075,99.927,100.475,101.301,105.844,105.977,105.709
Private nonfarm,Arkansas,All workers,Real value-added output,Index (2012=100),98.594,98.500,94.046,97.177,99.967,100.000,101.600,103.381,104.143,105.118,106.341,108.074,109.993,110.528,117.194,120.079
Private nonfarm,Arkansas,All workers,Hours worked,Index (2012=100),104.799,104.419,97.641,96.722,99.427,100.000,99.047,99.951,101.478,102.981,106.419,107.563,108.580,104.425,110.585,113.595
Private nonfarm,Arkansas,All workers,Employment,Index (2012=100),105.081,104.627,98.801,97.782,100.016,100.000,99.317,99.964,103.130,105.196,106.685,107.671,109.325,106.768,111.810,115.477
Private nonfarm,Arkansas,All workers,Output per worker,Index (2012=100),93.826,94.144,95.188,99.382,99.951,100.000,102.299,103.418,100.983,99.926,99.678,100.374,100.611,103.521,104.815,103.985
Private nonfarm,Arkansas,All workers,Real hourly compensation,Index (2012=100),97.725,96.301,102.468,100.114,97.906,100.000,100.180,101.267,104.224,103.840,104.783,105.770,106.434,111.001,108.050,106.110
Private nonfarm,Arkansas,All workers,Hourly compensation,Index (2012=100),87.168,89.233,92.978,94.466,96.142,100.000,101.878,104.356,107.487,108.474,109.743,112.068,115.528,122.856,126.849,134.774
Private nonfarm,Arkansas,All workers,Value-added output price deflator,Index (2012=100),91.879,93.990,95.404,96.456,97.987,100.000,102.000,103.806,104.700,105.652,107.320,109.761,111.982,113.396,119.555,129.240
Private nonfarm,Arkansas,All workers,Labor compensation,Index (2012=100),91.351,93.176,90.784,91.369,95.591,100.000,100.908,104.304,109.076,111.708,116.787,120.544,125.440,128.293,140.276,153.095
Private nonfarm,Arkansas,All workers,Real labor compensation,Index (2012=100),102.414,100.557,100.051,96.833,97.344,100.000,99.225,101.217,105.765,106.935,111.508,113.769,115.566,115.912,119.487,120.536
Private nonfarm,Arkansas,All workers,Unit labor costs,Index (2012=100),92.654,94.595,96.532,94.023,95.623,100.000,99.318,100.893,104.736,106.270,109.823,111.538,114.043,116.073,119.695,127.495
Private nonfarm,Arkansas,All workers,Employment,Thousands of jobs,1098.1,1093.4,1032.5,1021.9,1045.2,1045.0,1037.9,1044.7,1077.8,1099.3,1114.9,1125.2,1142.5,1115.8,1168.5,1206.8
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,"1,901.057","1,894.174","1,771.212","1,754.549","1,803.611","1,814.011","1,796.732","1,813.114","1,840.825","1,868.089","1,930.448","1,951.206","1,969.650","1,894.281","2,006.028","2,060.619"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,"57,478.192","56,435.610","56,151.556","54,345.532","54,632.669","56,123.159","55,688.395","56,806.196","59,358.413","60,015.428","62,582.032","63,850.882","64,859.083","65,053.725","67,060.011","67,648.341"
Private nonfarm,Arkansas,All workers,Value-added output,Millions of current dollars,"76,052.294","77,726.253","75,328.235","78,694.591","82,237.851","83,955.507","87,004.793","90,097.762","91,544.011","93,239.624","95,814.376","99,590.212","103,409.986","105,225.232","117,631.887","130,291.180"
Private nonfarm,Arkansas,All workers,Labor compensation,Millions of current dollars,"46,025.256","46,944.797","45,739.906","46,034.575","48,161.541","50,382.964","50,840.219","52,551.518","54,955.482","56,281.824","58,840.911","60,733.537","63,200.282","64,637.617","70,675.412","77,134.051"
Private nonfarm,Arkansas,All workers,Real hourly compensation,2012 dollars per hour worked,30.235,29.794,31.702,30.974,30.291,30.939,30.994,31.331,32.246,32.127,32.418,32.724,32.929,34.342,33.429,32.829
Private nonfarm,Arkansas,All workers,Hourly compensation,Current dollars per hour worked,24.210,24.784,25.824,26.237,26.703,27.774,28.296,28.984,29.854,30.128,30.480,31.126,32.087,34.123,35.232,37.432
Private nonfarm,Arkansas,All workers,Labor productivity,% Change from previous year,N.A.,0.3,2.1,4.3,0.1,-0.5,2.6,0.8,-0.8,-0.5,-2.1,0.5,0.8,4.5,0.1,-0.3
Private nonfarm,Arkansas,All workers,Real value-added output,% Change from previous year,N.A.,-0.1,-4.5,3.3,2.9,0.0,1.6,1.8,0.7,0.9,1.2,1.6,1.8,0.5,6.0,2.5
Private nonfarm,Arkansas,All workers,Hours worked,% Change from previous year,N.A.,-0.4,-6.5,-0.9,2.8,0.6,-1.0,0.9,1.5,1.5,3.3,1.1,0.9,-3.8,5.9,2.7
Private nonfarm,Arkansas,All workers,Employment,% Change from previous year,N.A.,-0.4,-5.6,-1.0,2.3,0.0,-0.7,0.7,3.2,2.0,1.4,0.9,1.5,-2.3,4.7,3.3
Private nonfarm,Arkansas,All workers,Output per worker,% Change from previous year,N.A.,0.3,1.1,4.4,0.6,0.0,2.3,1.1,-2.4,-1.0,-0.2,0.7,0.2,2.9,1.2,-0.8
Private nonfarm,Arkansas,All workers,Real hourly compensation,% Change from previous year,N.A.,-1.5,6.4,-2.3,-2.2,2.1,0.2,1.1,2.9,-0.4,0.9,0.9,0.6,4.3,-2.7,-1.8
Private nonfarm,Arkansas,All workers,Hourly compensation,% Change from previous year,N.A.,2.4,4.2,1.6,1.8,4.0,1.9,2.4,3.0,0.9,1.2,2.1,3.1,6.3,3.3,6.2
Private nonfarm,Arkansas,All workers,Value-added output,% Change from previous year,N.A.,2.2,-3.1,4.5,4.5,2.1,3.6,3.6,1.6,1.9,2.8,3.9,3.8,1.8,11.8,10.8
Private nonfarm,Arkansas,All workers,Value-added output price deflator,% Change from previous year,N.A.,2.3,1.5,1.1,1.6,2.1,2.0,1.8,0.9,0.9,1.6,2.3,2.0,1.3,5.4,8.1
Private nonfarm,Arkansas,All workers,Labor compensation,% Change from previous year,N.A.,2.0,-2.6,0.6,4.6,4.6,0.9,3.4,4.6,2.4,4.5,3.2,4.1,2.3,9.3,9.1
Private nonfarm,Arkansas,All workers,Real labor compensation,% Change from previous year,N.A.,-1.8,-0.5,-3.2,0.5,2.7,-0.8,2.0,4.5,1.1,4.3,2.0,1.6,0.3,3.1,0.9
Private nonfarm,Arkansas,All workers,Unit labor costs,% Change from previous year,N.A.,2.1,2.0,-2.6,1.7,4.6,-0.7,1.6,3.8,1.5,3.3,1.6,2.2,1.8,3.1,6.5
Private nonfarm,California,All workers,Labor productivity,Index (2012=100),90.107,92.469,96.744,99.458,99.386,100.000,100.028,100.939,103.496,104.342,108.151,110.716,115.053,123.132,127.551,121.798
Private nonfarm,California,All workers,Real value-added output,Index (2012=100),96.344,95.414,92.167,94.389,96.399,100.000,103.751,107.847,113.640,117.236,123.750,129.779,134.915,131.582,144.377,144.572
Private nonfarm,California,All workers,Hours worked,Index (2012=100),106.921,103.185,95.269,94.904,96.994,100.000,103.723,106.844,109.802,112.358,114.423,117.217,117.263,106.863,113.192,118.698
Private nonfarm,California,All workers,Employment,Index (2012=100),105.934,103.708,97.092,96.112,97.328,100.000,103.029,105.996,108.597,111.723,114.303,116.774,117.532,107.338,112.708,119.309
Private nonfarm,California,All workers,Output per worker,Index (2012=100),90.946,92.003,94.927,98.207,99.045,100.000,100.701,101.746,104.644,104.935,108.265,111.137,114.790,122.587,128.099,121.174
Private nonfarm,California,All workers,Real hourly compensation,Index (2012=100),96.581,95.577,97.516,99.525,99.320,100.000,99.506,100.853,104.028,105.615,106.047,106.619,110.403,119.623,122.439,113.373
Private nonfarm,California,All workers,Hourly compensation,Index (2012=100),88.338,90.813,91.699,94.284,96.883,100.000,100.818,103.951,108.311,110.633,115.816,120.320,125.849,139.199,149.120,149.386
Private nonfarm,California,All workers,Value-added output price deflator,Index (2012=100),94.051,95.025,95.104,96.167,98.033,100.000,101.617,103.121,104.440,105.386,106.795,108.648,110.394,111.691,115.446,122.648
Private nonfarm,California,All workers,Labor compensation,Index (2012=100),94.451,93.705,87.361,89.479,93.971,100.000,104.571,111.065,118.927,124.305,132.520,141.036,147.575,148.751,168.793,177.318
Private nonfarm,California,All workers,Real labor compensation,Index (2012=100),103.265,98.621,92.903,94.453,96.334,100.000,103.210,107.755,114.225,118.667,121.342,124.976,129.463,127.833,138.591,134.571
Private nonfarm,California,All workers,Unit labor costs,Index (2012=100),98.036,98.209,94.785,94.799,97.482,100.000,100.790,102.984,104.653,106.029,107.086,108.674,109.384,113.048,116.911,122.650
Private nonfarm,California,All workers,Employment,Thousands of jobs,15031.1,14715.1,13776.5,13637.4,13809.9,14189.0,14618.8,15039.9,15408.8,15852.4,16218.5,16569.1,16676.7,15230.2,15992.1,16928.9
Private nonfarm,California,All workers,Hours worked,Millions of hours,"25,823.190","24,921.007","23,009.090","22,920.843","23,425.670","24,151.697","25,050.793","25,804.557","26,519.016","27,136.373","27,635.150","28,309.991","28,321.117","25,809.147","27,337.859","28,667.560"
